,category,cost_type,price,sup_size,dedi_size,lat_num,lng_num,title
52,빌라연립다세대,매매,"28,000",98.26,84.2925,,,아라미다움1차/즉시입주/아라중인근
53,토지임야,매매,"18,500",330,,,,건축허가 득한 단독주택지/4차선도로에서 약120미터/4미터도로
54,토지임야,매매,"108,300",3579,,,,오수관로예정지/공동주택건축등/가격조정가능/당100
55,빌라연립다세대,매매,"36,500",108.58,83.04,,,영평초 바로 옆에 위치한 단지형 빌라
56,아파트,매매,"23,700",111,68.22,33.556459934351686,126.75482404004424,신공항 프리미엄 김녕 에메랄드 빛 바다 옆 신축 아파트 센트럴시티에덴 매매!!!
57,아파트,전세,"19,000",111,68.44,33.556459934351686,126.75482404004424,"33평형,32평형 김녕 센트럴시티에덴 아파트 전세"
58,빌라연립다세대,전세,"18,900",86.7102,63,33.531576784975165,126.62425281808744,신촌에덴빌리지 탑층 방2개 복층
59,토지임야,매매,"76,500",1405,,,,산방산 2차선도로 접한 A급 토지 매매
60,상가점포,임대,"3,000/800",99.15,89.24,,,해안도로 5분거리 상가임대
61,상가점포,임대,"1,000/1,800",132.2,132.2,,,<큰별466>추천 고깃집 하실려면 모든 조건 갑입니다!!
62,공장/창고,임대,"2,000/2,100",247.93,247.93,,,2차선도로 접하고 있는 물류 창고(150py 50py 75py분할가능)
63,공장/창고,임대,"4,000/4,000",528.8,528.8,,,<큰별449>2차선 근접 호이스트 있는 물류창고
64,사무실,임대,"2,500/1,700",171.9,171.9,,,<큰별405>도남청사 맞은편 주차편리한 사무실
65,단독다가구,매매,"68,000",592,197.09,,,♣급매 수익성과 힐링을 모두 갖춘 2층전원주택+별채 카페를 매매합니다
66,전원농가주택,매매,"97,000",546,166.4,,,가격인하 한라산및 바다뷰 최상인 고급주택
67,토지임야,매매,"79,000",6529,,,,"덕수리 산방산 뷰최상인 급매 과수원 ,"
68,토지임야,매매,"5,000",199,,,,급 급매 투자용
69,상가점포,임대,"2,000/3,000",2011,360,,,공항10분거리  건물100평 대형 상가 임대
70,토지임야,매매,"280,000",1566,,,,급 급매 상가주택부지
71,전원농가주택,매매,"38,000",590,88.5,,,강추 ! 정원이 예쁜 단독주택
72,토지임야,매매,"28,820",432.96,,,,《《《 해안동 경관좋은 강추 !  투자용 》》》
73,상가주택,매매,"140,000",992,385.44,,,급매 상가주택 ( 대지300평 )
74,아파트,년월세,200/700,95.85,69.43,,,도남 성환아파트(년세)
75,오피스텔,매매,"9,500",29.75,23.14,33.48371153079743,126.48187464505213,노형 에코지엘 원룸매매
